dataset	task	task_definition	lang	labels
annotated-hatetweets-4-classes	Hate Speech Detection	Detect whether a piece of text contains hate speech. Hate speech is a language that is used to express hatred towards a targeted group or is intended to be derogatory, to humiliate, or to insult the members of the group.	Arabic	['positive', 'negative', 'neutral', 'very-positive']
ans-claim	Claim Detection	Detect whether a piece of text contains a factual claim. A factual (verifiable) claim is a statement that can be verified using accurate information such as statistics, witness statements, etc	Arabic	['not_claim', 'claim']
ar_reviews_100k	Sentiment Classification	Identifying and classifying sentiment expressed in text.	Arabic	['Negative', 'Mixed', 'Positive']
Arafacts	Factuality Detection	Identify the veracity/factuality of a claim.	Arabic	['partly-false', 'false', 'true', 'sarcasm', 'unverifiable']
ArCyc_CB	Cyberbullying Detection	Detect whether a piece of text contains cyberbullying. Cyberbullying detection involves identifying text that includes abusive, harassing, or threatening behavior directed towards individuals online.	Arabic	['no', 'yes']
ArCyc_OFF	Offensive Language Detection	Detect if a piece of text contains offensive language. Offensive speech is vulgar or targeted offense. It is explicit or implicit insults or attacks against other people, or inappropriate language.	Arabic	['yes', 'no']
ArPro	Propaganda Detection	Detecting propaganda in a piece of text. Propaganda can be defined as a form of communication aimed at influencing people’s opinions or actions toward a specific goal, using well-defined rhetorical and psychological techniques.	Arabic	['Non-Propaganda', 'Propaganda']
ArSarcasm-v2	Sarcasm Detection	Identify whether a piece of text is sarcastic or not.	Arabic	['not-sarcastic', 'sarcastic']
ArSAS	Sentiment Classification	Identifying and classifying sentiment expressed in text.	Arabic	['Mixed', 'Negative', 'Neutral', 'Positive']
ASND	News Categorization	Detect the category of a news article. News categorization involves classifying text into specific categories based on its content. The labels identify the primary topic or theme of the article.	Arabic	['spiritual', 'human-rights-press-freedom', 'business-and-economy', 'sports', 'science-and-technology', 'education', 'environment', 'health', 'art-and-entertainment', 'politics']
COVID19Factuality	Factuality Detection	Identify the veracity/factuality of a claim.	Arabic	['unfactual', 'factual']
CT22Attentionworthy	Attentionworthiness Detection	On social media, people often tweet to blame authorities, provide advice, and/or call for action. It is important for policymakers to respond to these posts. This task aims to categorize such information based on whether it requires attention and which kind of it is needed.	Arabic	['yes_discusses_action_taken', 'yes_discusses_cure', 'harmful', 'yes_contains_advice', 'yes_other', 'yes_calls_for_action', 'no_not_interesting', 'yes_blame_authorities', 'yes_asks_question']
CT22Claim	Claim Detection	Detect whether a piece of text contains a factual claim. A factual (verifiable) claim is a statement that can be verified using accurate information such as statistics, witness statements, etc	Arabic	['claim', 'not-claim']
CT22Harmful	Harmfulness Detection	Detect if a piece of text is harmful. Harmful content includes rumors, offensive, hate speech, cyberbullying, violence, racist, misogynistic, and sexist content.	Arabic	['not-harmful', 'harmful']
CT24_checkworthy	Checkworthiness Detection	Detect which factual claims are more urgent or important and should be prioritized for fact-checking.	Arabic	['not-Check-worthy', 'Check-worthy']
